univNameCn,univNameEn,univTags,univCategory,province,score,ranking
成都师范学院,Chengdu Normal University,,师范,四川,112.6,417
韶关学院,Shaoguan University,,综合,广东,112.6,417
嘉应学院,Jiaying University,,综合,广东,112.5,419
宁夏师范学院,Ningxia Normal University,,师范,宁夏,112.3,420
防灾科技学院,Institute of Disaster Prevention,,理工,河北,112.0,421
通化师范学院,Tonghua Normal University,,师范,吉林,111.8,422
西昌学院,Xichang College,,综合,四川,111.8,422
丽水学院,Lishui University,,师范,浙江,111.5,424
哈尔滨学院,Harbin University,,综合,黑龙江,111.3,425
新乡学院,Xinxiang University,,理工,河南,111.0,426
遵义师范学院,Zunyi Normal University,,师范,贵州,111.0,426
湖北理工学院,Hubei Polytechnic University,,理工,湖北,110.7,428
华北科技学院,North China Institute of Science and Technology,,理工,河北,110.6,429
乐山师范学院,Leshan Normal University,,师范,四川,110.5,430
石家庄学院,Shijiazhuang University,,师范,河北,110.5,430
湖南工程学院,Hunan Institute of Engineering,,理工,湖南,110.1,432
三明学院,Sanming University,,综合,福建,109.7,433
贵州理工学院,Guizhou Institute of Technology,,理工,贵州,109.5,434
重庆第二师范学院,Chongqing University of Education,,师范,重庆,109.4,435
辽宁科技学院,Liaoning Institute of Science and Technology,,理工,辽宁,109.4,435
北部湾大学,Beibu Gulf University,,综合,广西,109.3,437
龙岩学院,Longyan University,,综合,福建,109.3,437
许昌学院,Xuchang University,,理工,河南,109.1,439
湖南科技学院,Hunan University of Science and Engineering,,综合,湖南,108.7,440
广东第二师范学院,Guangdong University of Education,,师范,广东,108.5,441
吉林化工学院,Jilin Institute of Chemical Technology,,理工,吉林,108.0,442
山东女子学院,Shandong Women's University,,综合,山东,108.0,442
平顶山学院,Pingdingshan University,,师范,河南,107.9,444
莆田学院,Putian University,,综合,福建,107.9,444
成都工业学院,Chengdu Technological University,,理工,四川,107.8,446
黄山学院,Huangshan University,,师范,安徽,107.8,446
南昌师范学院,Nanchang Normal University,,师范,江西,107.4,448
曲靖师范学院,Qujing Normal University,,师范,云南,107.4,448
洛阳理工学院,Luoyang Institute of Science and Technology,,综合,河南,107.0,450
河南牧业经济学院,Henan University of Animal Husbandry and Economy,,农业,河南,106.7,451
吉林工程技术师范学院,Jilin Engineering Normal University,,师范,吉林,106.5,452
牡丹江师范学院,Mudanjiang Normal University,,师范,黑龙江,106.3,453
韩山师范学院,Hanshan Normal University,,师范,广东,106.2,454
淮南师范学院,Huainan Normal University,,师范,安徽,105.7,455
四川旅游学院,Sichuan Tourism University,,综合,四川,105.7,455
海南热带海洋学院,Hainan Tropical Ocean University,,综合,海南,105.6,457
河北建筑工程学院,Hebei University of Architecture,,理工,河北,105.4,458
西安航空学院,Xi'an Aeronautical University,,理工,陕西,105.2,459
汉江师范学院,Hanjiang Normal University,,师范,湖北,105.1,460
河北环境工程学院,Hebei University of Environmental Engineering,,综合,河北,104.9,461
凯里学院,Kaili University,,综合,贵州,104.7,462
山东农业工程学院,Shandong Agriculture and Engineering University,,综合,山东,104.7,462
苏州城市学院,Wenzheng College of Soochow University,,综合,江苏,104.5,464
湘南学院,Xiangnan University,,理工,湖南,104.1,465
宿州学院,Suzhou University,,师范,安徽,104.0,466
榆林学院,Yulin University,,师范,陕西,103.8,467
玉溪师范学院,Yuxi Normal University,,师范,云南,103.8,467
郑州师范学院,Zhengzhou Normal University,,师范,河南,103.8,467
安顺学院,Anshun University,,综合,贵州,103.7,470
贵阳学院,Guiyang University,,综合,贵州,103.4,471
唐山学院,Tangshan College,,理工,河北,103.4,471
贺州学院,Hezhou University,,综合,广西,103.1,473
萍乡学院,Pingxiang University,,综合,江西,102.8,474
山西大同大学,Shanxi Datong University,,综合,山西,102.6,475
渭南师范学院,Weinan Normal University,,师范,陕西,102.5,476
宁德师范学院,Ningde Normal University,,师范,福建,102.4,477
黔南民族师范学院,Qiannan Normal College for Nationalities,,师范,贵州,102.4,477
商洛学院,Shangluo University,,综合,陕西,102.4,477
安阳工学院,Anyang Institute of Technology,,理工,河南,102.3,480
济宁学院,Jining University,,师范,山东,102.2,481
巢湖学院,Chaohu University,,师范,安徽,101.7,482
广州航海学院,Guangzhou Maritime University,,理工,广东,101.7,482
四川文理学院,Sichuan University of Arts and Science,,综合,四川,101.6,484
太原师范学院,Taiyuan Normal University,,师范,山西,101.6,484
天津中德应用技术大学,Tianjin Sino-German University of Applied Sciences,,理工,天津,101.1,486
沈阳工程学院,Shenyang Institute of Engineering,,理工,辽宁,101.0,487
咸阳师范学院,Xianyang Normal University,,师范,陕西,101.0,487
阿坝师范学院,Aba Teachers University,,师范,四川,100.9,489
昆明学院,Kunming University,,综合,云南,100.5,490
郑州工程技术学院,Zhengzhou Institute of Technology,,理工,河南,100.5,490
天水师范学院,Tianshui Normal University,,师范,甘肃,100.4,492
泰州学院,Taizhou University,,师范,江苏,100.3,493
无锡学院,"Nanjing University of Information Science and Technology, Binjiang College",,综合,江苏,99.6,494
鞍山师范学院,Anshan Normal University Liaoning China,,师范,辽宁,99.5,495
沧州师范学院,Cangzhou Normal University,,师范,河北,99.4,496
福建技术师范学院,Fujian Polytechnic Normal University,,师范,福建,99.4,496
河北科技工程职业技术大学,North China Electric Power University Science and Technology College,,理工,河北,99.4,496
兰州城市学院,Lanzhou City University,,综合,甘肃,99.4,496
河北民族师范学院,Hebei Normal University for Nationalities,,师范,河北,99.1,500
蚌埠学院,Bengbu University,,理工,安徽,98.6,501
新余学院,Xinyu University,,综合,江西,98.5,502
红河学院,Honghe University,,综合,云南,98.4,503
安康学院,Ankang University,,综合,陕西,98.2,504
周口师范学院,Zhoukou Normal University,,师范,河南,98.2,504
邵阳学院,Shaoyang University,,理工,湖南,98.0,506
保定学院,Baoding University,,师范,河北,97.9,507
呼伦贝尔学院,Hulunbuir University,,综合,内蒙古,97.7,508
山东青年政治学院,Shandong Youth University of Political Science,,综合,山东,97.6,509
池州学院,Chizhou University,,师范,安徽,97.3,510
大庆师范学院,Daqing Normal University,,综合,黑龙江,97.0,511
吉林农业科技学院,Jilin Agricultural Science and Technology University,,农业,吉林,96.7,512
太原工业学院,Taiyuan Institute of Technology,,理工,山西,96.7,512
邢台学院,Xingtai University,,师范,河北,96.5,514
湖南人文科技学院,"Hunan University of Humanities, Science and Technology",,师范,湖南,96.3,515
邯郸学院,Handan College,,师范,河北,96.2,516
廊坊师范学院,Langfang Teachers University,,师范,河北,96.0,517
伊犁师范大学,Yili Normal University,,师范,新疆,96.0,517
黑河学院,Heihe University,,综合,黑龙江,95.7,519
南京特殊教育师范学院,Nanjing Normal University of Special Education,,师范,江苏,95.4,520
荆楚理工学院,Jingchu University of Technology,,理工,湖北,95.3,521
武夷学院,Wuyi University,,综合,福建,94.9,522
河南工学院,Henan Institute of Technology,,理工,河南,94.1,523
河西学院,HeXi University,,综合,甘肃,94.1,523
楚雄师范学院,Chuxiong Normal University,,师范,云南,94.0,525
赤峰学院,Chifeng University,,综合,内蒙古,93.0,526
菏泽学院,Heze University,,综合,山东,92.8,527
六盘水师范学院,Liupanshui Normal University,,师范,贵州,92.8,527
喀什大学,Kashi University,,师范,新疆,92.5,529
绥化学院,Suihua University,,综合,黑龙江,92.3,530
陕西学前师范学院,Shaanxi Xueqian Normal University,,师范,陕西,92.1,531
贵阳康养职业大学,Qiushi College of Guizhou Normal University Institute,,师范,贵州,92.0,532
辽东学院,Eastern Liaoning University,,综合,辽宁,91.9,533
运城学院,Yuncheng University,,师范,山西,91.9,533
怀化学院,Huaihua University,,综合,湖南,91.5,535
陇东学院,Long Dong University,,师范,甘肃,91.4,536
白城师范学院,Baicheng Normal University,,师范,吉林,91.2,537
景德镇学院,Jingdezhen University,,综合,江西,91.1,538
湖南工学院,Hunan Institute of Technology,,理工,湖南,90.7,539
桂林航天工业学院,Guilin University of Aerospace Technology,,理工,广西,90.6,540
山东石油化工学院,"Shengli College, China University of Petroleum",,理工,山东,90.2,541
梧州学院,Wuzhou University,,综合,广西,89.7,542
湖州学院,Huzhou University Qiuzhen College,,师范,浙江,89.6,543
赣东学院,"East China Institute of Technology, Yangtze River College",,理工,江西,89.4,544
兰州工业学院,Lanzhou Institute of Technology,,理工,甘肃,88.5,545
晋中学院,Jinzhong University,,师范,山西,88.2,546
保山学院,Baoshan University,,师范,云南,88.1,547
鄂尔多斯应用技术学院,Ordos Institute of Technology,,综合,内蒙古,87.9,548
琼台师范学院,Qiongtai Normal University,,师范,海南,87.5,549
文山学院,Wenshan University,,师范,云南,87.4,550
贵州工程应用技术学院,Guizhou University of Engineering Science,,师范,贵州,87.2,551
普洱学院,Puer University,,师范,云南,87.1,552
衡水学院,Hengshui University,,师范,河北,86.6,553
长治学院,Changzhi University,,师范,山西,86.5,554
百色学院,Baise University,,综合,广西,86.2,555
四川民族学院,Sichuan University for Nationalities,,师范,四川,85.2,556
兴义民族师范学院,Xingyi Normal University for Nationalities,,师范,贵州,84.3,557
张家口学院,Zhangjiakou University,,综合,河北,84.2,558
新疆工程学院,Xinjiang Institute of Engineering,,理工,新疆,83.8,559
兰州文理学院,Lanzhou University of Arts and Science,,综合,甘肃,83.7,560
忻州师范学院,Xinzhou Teachers University,,师范,山西,83.6,561
河北水利电力学院,Hebei University of Water Resources and Electric Engineering,,理工,河北,83.0,562
吕梁学院,Luliang University,,师范,山西,82.3,563
亳州学院,Bozhou University,,师范,安徽,81.9,564
广西科技师范学院,Guangxi Science and Technology Normal University,,师范,广西,81.9,564
长沙师范学院,Changsha Normal University,,师范,湖南,81.7,566
河池学院,Hechi University,,综合,广西,81.6,567
广西民族师范学院,Guangxi Normal University for Nationalities,,师范,广西,81.3,568
山西能源学院,Shanxi Institute of Energy,,综合,山西,81.2,569
赣南科技学院,"College of Applied Science, Jiangxi University of Science and Technology",,理工,江西,80.3,570
河北工业职业技术大学,Polytechnic College of Hebei University of Science and Technology,,理工,河北,80.2,571
兰州石化职业技术大学,Zhixing College of Northwest Normal University,,理工,甘肃,80.0,572
黑龙江工业学院,Heilongjiang University of Technology,,理工,黑龙江,79.2,573
河北石油职业技术大学,Hebei University of Technology City College,,理工,河北,79.1,574
豫章师范学院,Yuzhang Normal University,,师范,江西,77.9,575
山西工程技术学院,Shanxi Institute of Technology,,理工,山西,77.8,576
集宁师范学院,Jining Normal University,,师范,内蒙古,76.8,577
温州理工学院,Wenzhou University Oujiang College,,师范,浙江,76.7,578
内蒙古科技大学包头师范学院,Baotou Teachers' College,,综合,内蒙古,76.5,579
山西科技学院,Shanxi Institute of Science and Technology,,理工,山西,76.5,579
昭通学院,Zhaotong University,,师范,云南,75.7,581
甘肃民族师范学院,Gansu Normal University for Nationalities,,师范,甘肃,74.6,582
昌吉学院,Changji University,,师范,新疆,74.3,583
河套学院,Hetao University,,综合,内蒙古,73.3,584
滇西科技师范学院,West Yunnan University,,师范,云南,73.0,585
新疆理工学院,Xinjiang Institute of Technology,,综合,新疆,71.7,586
广西农业职业技术大学,Guangxi Vocational University of Agriculture,,综合,广西,70.6,587
太原学院,Taiyuan University,,理工,山西,66.3,588
山西工程科技职业大学,Shanxi Vocational University of Engineering Science and Technology,,理工,山西,65.7,589
新疆政法学院,Xinjiang University of Political Science and Law,,综合,新疆,63.3,590
