univNameCn,univNameEn,univTags,univCategory,province,score,ranking
福州大学,Fuzhou University,双一流 211,理工,福建,297.0,72
江苏大学,Jiangsu University,,综合,江苏,294.8,73
西北农林科技大学,Northwest A&F University,双一流 985 211,农业,陕西,292.6,74
南昌大学,Nanchang University,双一流 211,综合,江西,292.2,75
华北电力大学,North China Electric Power University,双一流 211,理工,北京,289.2,76
中国矿业大学（北京）,China University of Mining and Technology - Beijing,双一流 211,理工,北京,288.5,77
华南师范大学,South China Normal University,双一流 211,师范,广东,286.8,78
扬州大学,Yangzhou University,,综合,江苏,286.7,79
东华大学,Donghua University,双一流 211,理工,上海,285.5,80
北京林业大学,Beijing Forestry University,双一流 211,林业,北京,284.2,81
云南大学,Yunnan University,双一流 211,综合,云南,280.6,82
合肥工业大学,Hefei University of Technology,双一流 211,理工,安徽,276.3,83
南京工业大学,Nanjing Tech University,,理工,江苏,275.1,84
宁波大学,Ningbo University,双一流,综合,浙江,271.0,85
首都师范大学,Capital Normal University,双一流,师范,北京,269.5,86
福建师范大学,Fujian Normal University,,师范,福建,268.4,87
湖南师范大学,Hunan Normal University,双一流 211,师范,湖南,265.1,88
长安大学,Chang'an University,双一流 211,理工,陕西,261.4,89
华南农业大学,South China Agricultural University,双一流,农业,广东,260.5,90
广州大学,Guangzhou University,,综合,广东,258.3,91
南京邮电大学,Nanjing University of Posts and Telecommunications,双一流,理工,江苏,257.5,92
燕山大学,Yanshan University,,理工,河北,257.0,93
杭州电子科技大学,Hangzhou Dianzi University,,理工,浙江,256.7,94
安徽大学,Anhui University,双一流 211,综合,安徽,254.6,95
河南大学,Henan University,双一流,综合,河南,254.6,95
南京信息工程大学,Nanjing University of Information Science & Technology,双一流,综合,江苏,254.2,97
浙江师范大学,Zhejiang Normal University,,师范,浙江,253.7,98
广西大学,Guangxi University,双一流 211,综合,广西,252.3,99
上海理工大学,University of Shanghai for Science and Technology,,理工,上海,251.8,100
山东师范大学,Shandong Normal University,,师范,山东,251.0,101
广东工业大学,Guangdong University of Technology,,理工,广东,250.2,102
河北工业大学,Hebei University of Technology,双一流 211,理工,天津,249.9,103
青岛大学,Qingdao University,,综合,山东,249.9,103
上海师范大学,Shanghai Normal University,,师范,上海,245.1,105
湘潭大学,Xiangtan University,双一流,综合,湖南,243.2,106
武汉科技大学,Wuhan University of Science and Technology,,理工,湖北,242.7,107
湖北大学,Hubei University,,综合,湖北,241.6,108
南京林业大学,Nanjing Forestry University,双一流,林业,江苏,239.8,109
大连海事大学,Dalian Maritime University,双一流 211,理工,辽宁,239.3,110
山西大学,Shanxi University,双一流,综合,山西,238.1,111
浙江理工大学,Zhejiang Sci-Tech University,,理工,浙江,237.4,112
太原理工大学,Taiyuan University of Technology,双一流 211,理工,山西,235.0,113
东北林业大学,Northeast Forestry University - China,双一流 211,林业,黑龙江,234.4,114
长沙理工大学,Changsha University of Science and Technology,,理工,湖南,232.9,115
西安理工大学,Xi'an University of Technology,,理工,陕西,229.3,116
东北农业大学,Northeast Agricultural University - China,双一流 211,农业,黑龙江,229.0,117
江西师范大学,Jiangxi Normal University,,师范,江西,228.1,118
内蒙古大学,Inner Mongolia University,双一流 211,综合,内蒙古,227.3,119
河北大学,Hebei University,,综合,河北,226.6,120
福建农林大学,Fujian Agriculture and Forestry University,,农业,福建,226.4,121
杭州师范大学,Hangzhou Normal University,,师范,浙江,224.4,122
山东科技大学,Shandong University of Science and Technology,,综合,山东,221.7,123
西安建筑科技大学,Xi'an University of Architecture and Technology,,理工,陕西,221.6,124
安徽师范大学,Anhui Normal University,,师范,安徽,221.1,125
贵州大学,Guizhou University,双一流 211,综合,贵州,221.1,125
辽宁大学,Liaoning University,双一流 211,综合,辽宁,219.3,127
河南师范大学,Henan Normal University,,师范,河南,218.8,128
西南石油大学,Southwest Petroleum University,双一流,理工,四川,218.4,129
海南大学,Hainan University,双一流 211,综合,海南,216.0,130
中国计量大学,China Jiliang University,,理工,浙江,214.6,131
陕西科技大学,Shaanxi University of Science and Technology,,理工,陕西,214.5,132
北京建筑大学,Beijing University of Civil Engineering and Architecture,,理工,北京,213.0,133
江苏师范大学,Jiangsu Normal University,,师范,江苏,212.5,134
华侨大学,Huaqiao University,,综合,福建,212.0,135
黑龙江大学,Heilongjiang University,,综合,黑龙江,211.9,136
山东农业大学,Shandong Agricultural University,,农业,山东,211.7,137
齐鲁工业大学,Qilu University of Technology,,理工,山东,211.3,138
昆明理工大学,Kunming University of Science and Technology,,理工,云南,211.2,139
河南农业大学,Henan Agricultural University,,农业,河南,210.3,140
汕头大学,Shantou University,,综合,广东,210.0,141
长春理工大学,Changchun University of Science and Technology,,理工,吉林,209.7,142
湖北工业大学,Hubei University of Technology,,理工,湖北,209.7,142
温州大学,Wenzhou University,,综合,浙江,207.9,144
济南大学,University of Jinan,,综合,山东,206.4,145
四川农业大学,Sichuan Agricultural University,双一流 211,农业,四川,205.8,146
江苏科技大学,Jiangsu University of Science and Technology,,理工,江苏,205.7,147
天津师范大学,Tianjin Normal University,,师范,天津,204.4,148
沈阳农业大学,Shenyang Agricultural University,,农业,辽宁,204.3,149
安徽农业大学,Anhui Agricultural University,,农业,安徽,204.1,150
重庆邮电大学,Chongqing University of Posts and Telecommunications,,理工,重庆,203.6,151
浙江农林大学,Zhejiang A&F University,,林业,浙江,203.2,152
辽宁师范大学,Liaoning Normal University,,师范,辽宁,203.0,153
西北师范大学,Northwest Normal University China,,师范,甘肃,203.0,153
河南科技大学,Henan University of Science and Technology,,综合,河南,202.9,155
武汉工程大学,Wuhan Institute of Technology,,理工,湖北,202.8,156
石河子大学,Shihezi University,双一流 211,综合,新疆,201.4,157
常州大学,Changzhou University,,理工,江苏,200.9,158
上海海事大学,Shanghai Maritime University,,理工,上海,200.1,159
青岛科技大学,Qingdao University of Science and Technology,,理工,山东,199.4,160
吉林农业大学,Jilin Agricultural University,,农业,吉林,199.1,161
河北师范大学,Hebei Normal University,,师范,河北,199.0,162
安徽工业大学,Anhui University of Technology,,理工,安徽,197.5,163
曲阜师范大学,Qufu Normal University,,师范,山东,197.5,163
新疆大学,Xinjiang University,双一流 211,综合,新疆,197.5,163
天津工业大学,Tiangong University,双一流,理工,天津,196.5,166
宁夏大学,Ningxia University,双一流 211,综合,宁夏,194.9,167
湖南农业大学,Hunan Agricultural University,,农业,湖南,194.7,168
南通大学,Nantong University,,综合,江苏,193.1,169
上海海洋大学,Shanghai Ocean University,双一流,农业,上海,192.3,170
广西师范大学,Guangxi Normal University,,师范,广西,192.0,171
三峡大学,China Three Gorges University,,综合,湖北,191.4,172
成都理工大学,Chengdu University of Technology,双一流,理工,四川,189.9,173
长江大学,Yangtze University,,综合,湖北,189.1,174
山东理工大学,Shandong University of Technology,,理工,山东,187.8,175
河南理工大学,Henan Polytechnic University,,理工,河南,185.7,176
北方工业大学,North China University of Technology,,理工,北京,185.2,177
江西理工大学,Jiangxi University of Science and Technology,,理工,江西,184.3,178
