打印次数,发货小包装数量,发货金额,发货毛重,发货体积,发货大包装数量,调整单对应的原单,代垫费用应收金额,WMS系统实际拣货数量,发货单WMS系统锁定库存优先级,折扣金额,provience,time
1,32,201.92,0.6,0.02,2.0,194448595,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
1,315,0.0,16.335,16.335,315.0,194316231,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
1,16,0.0,2.215,0.672,16.0,194306261,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
1,46,0.0,7.4618,1.3292,46.0,194313236,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
1,16,0.0,0.048,0.016,16.0,194450445,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
1,5,0.0,0.01415,0.03301,5.0,194449172,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
2,9,0.0,0.2498,0.00702,9.0,194443547,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
1,12,0.0,0.10515,0.06901,12.0,194447236,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
1,508,2702.16,137.22,5.36772,37.0,194444242,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
2,6,0.0,0.2668,0.02302,6.0,194442281,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
2,4,0.0,0.2293,0.00151104,4.0,194441714,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
2,5,0.0,0.4548,0.00200208,5.0,194441538,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
2,12,0.0,0.9859,0.04850104,12.0,194438964,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
0,260,63135.91,3.612,0.362,260.0,194420462,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
1,15,0.0,0.045,0.015,15.0,194334685,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
1,11,0.0,0.033,0.011,11.0,194334012,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
1,69,323.6,34.46,0.2075,3.58333334,194344064,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
1,470,2859.23,161.02333333,1.45376082,27.62499999,194323260,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
1,4620,19727.4,420.0,10.08,210.0,194397349,0.0,4620,5,0.0,湖南,2020-01-03 00:00:00
1,284,2219.21,62.65333334,0.17123664,15.83333334,194317872,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
1,228,708.78,11.25,1.0725,4.25,194317497,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
1,56,270.6,3.05333334,0.195,2.33333334,194345804,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
1,130,1710.08,29.79,0.1617,5.3,194328081,0.0,130,5,0.0,湖南,2020-01-02 00:00:00
1,416,1668.0,108.264,0.22,36.0,194397273,0.0,416,5,0.0,湖南,2020-01-03 00:00:00
1,315,13860.0,367.5,2.1,105.0,194332399,0.0,315,5,0.0,湖南,2020-01-02 00:00:00
1,10,1079.5,19.5,0.12304,2.0,194439893,0.0,10,5,0.0,湖南,2020-01-04 00:00:00
1,32,169.92,5.82,0.0243,1.0,194320755,0.0,32,5,0.0,湖南,2020-01-02 00:00:00
1,165,396.0,12.375,0.1155,2.75,194436820,0.0,165,5,0.0,湖南,2020-01-04 00:00:00
1,30,786.9,21.6,0.126,6.0,194437387,0.0,30,5,0.0,湖南,2020-01-04 00:00:00
1,48,313.2,5.08,2.46,6.0,194444237,0.0,48,5,0.0,湖南,2020-01-04 00:00:00
1,621,4836.1,81.76666666,2.73316667,32.72222223,194317854,0.0,621,5,0.0,湖南,2020-01-03 00:00:00
1,36,1224.0,34.125,0.213,6.0,194378226,0.0,36,5,0.0,湖南,2020-01-03 00:00:00
2,50,5397.5,97.5,0.6152,10.0,194393422,0.0,50,1,0.0,湖南,2020-01-03 00:00:00
1,21,16648.0,17.8,52.623762,4.0,194397691,0.0,21,5,0.0,湖南,2020-01-03 00:00:00
1,540,464400.0,90.0,90.0,90.0,194455376,0.0,540,5,0.0,湖南,2020-01-04 00:00:00
1,737,5993.87,196.52,1.23294158,52.91666666,194452758,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
1,1360,3794.4,382.5,1.7,85.0,194410940,0.0,1360,5,0.0,湖南,2020-01-03 00:00:00
1,20,3666.0,9.0024,0.081,20.0,194326964,0.0,20,5,0.0,湖南,2020-01-02 00:00:00
1,30,174.38,10.875,0.07714594,1.875,194461642,0.0,30,5,0.0,湖南,2020-01-04 00:00:00
2,57,460.28,12.84583333,0.193,3.575,194469144,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
1,10,0.0,0.2235,0.00608333,0.60833333,194463457,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
0,17,6136.0,0.63709,0.3313,17.0,194477502,0.0,0,5,2727.0,湖南,2020-01-04 00:00:00
0,2,227.0,0.2,0.2,2.0,194477521,0.0,0,5,109.0,湖南,2020-01-04 00:00:00
0,13,6625.0,0.2738,0.029,13.0,194477528,0.0,0,5,3052.0,湖南,2020-01-04 00:00:00
1,6522,19089.0,138.158,2.64402,133.0,194330739,0.0,6522,5,0.0,湖南,2020-01-02 00:00:00
1,600,3990.0,790.0,1.207,70.0,194384601,0.0,600,5,0.0,湖南,2020-01-03 00:00:00
1,600,5670.0,1254.0,2.0,100.0,194399704,0.0,600,5,0.0,湖南,2020-01-03 00:00:00
0,16,2133.0,8.692,0.281,16.0,194477523,0.0,0,5,858.0,湖南,2020-01-04 00:00:00
1,312,1994.4,36.2,14.95,36.0,194394103,0.0,312,5,0.0,湖南,2020-01-03 00:00:00
2,4,30.12,17.2,0.02956034,1.0,194394935,0.0,4,5,0.0,湖南,2020-01-03 00:00:00
2,52,4576.72,269.76,0.16865264,13.0,194407263,0.0,52,5,0.0,湖南,2020-01-03 00:00:00
1,40,2923.27,209.6,0.2877544,10.0,194302158,0.0,40,5,0.0,湖南,2020-01-02 00:00:00
1,1003,3791.64,135.85531385,2.16082657,39.34244229,194319860,0.0,1003,5,0.0,湖南,2020-01-03 00:00:00
1,172,752.0,12.84333334,0.18166666,6.66666668,194308020,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
1,360,0.0,168.0,3.0,60.0,194394321,16560.0,360,1,0.0,湖南,2020-01-03 00:00:00
1,1200,2850.0,61.5,0.7475,25.0,194500515,0.0,1200,5,0.0,湖南,2020-01-05 00:00:00
1,1292,3004.84,136.29705357,41.19865821,41.09821429,194497792,0.0,1292,1,0.0,湖南,2020-01-06 00:00:00
0,8,2519.05,0.051,0.012,8.0,194520750,0.0,0,5,0.0,湖南,2020-01-05 00:00:00
1,54,669.3,21.62333333,0.0558115,5.45,194521169,0.0,0,5,0.0,湖南,2020-01-06 00:00:00
1,22,188.4,2.85,0.18004167,1.31666667,194521650,0.0,0,5,0.0,湖南,2020-01-06 00:00:00
1,74,7396.5,48.175,7.5575,14.75,194380948,0.0,74,5,0.0,湖南,2020-01-03 00:00:00
1,6,0.0,0.08,0.01,1.0,194484168,0.0,0,5,0.0,湖南,2020-01-05 00:00:00
1,53,0.0,53.33333333,0.06666667,6.66666667,194522307,1517.0,0,5,0.0,湖南,2020-01-06 00:00:00
0,12,2319.0,2.213,0.03,12.0,194477509,0.0,0,5,420.0,湖南,2020-01-04 00:00:00
0,49,18932.0,1.0331,0.1761,49.0,194429271,0.0,0,5,7213.0,湖南,2020-01-03 00:00:00
1,7165,14066.0,923.7,53.621,122.0,194530849,0.0,0,5,0.0,湖南,2020-01-06 00:00:00
0,20,4084.08,1.678,0.123,20.0,194446907,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
0,34,5185.44,1.229,0.23,34.0,194445370,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
0,29,6070.35,0.648,0.143,29.0,194445026,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
0,20,4042.5,0.271,0.074,20.0,194443894,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
0,88,16050.32,4.766,0.916,88.0,194442190,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
0,78,16346.4,2.821,0.463,78.0,194442131,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
0,15,3408.5,0.714,0.101,15.0,194437629,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
1,135,1546.64,27.20333334,0.38923667,11.01666666,194534724,0.0,0,5,0.0,湖南,2020-01-06 00:00:00
1,90,932.86,33.07666667,0.23895434,8.11666667,194535403,0.0,0,5,0.0,湖南,2020-01-06 00:00:00
1,38,396.7,14.35999999,0.20301665,3.19999999,194536297,0.0,0,5,0.0,湖南,2020-01-06 00:00:00
1,596,5053.04,190.31983333,1.68143167,43.08333334,194537306,0.0,0,5,0.0,湖南,2020-01-06 00:00:00
1,167,1022.03,8.63666667,0.37033333,8.28333333,194449245,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
1,80,272.1,6.91766667,0.48058794,2.14999999,194449820,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
1,523,2325.0,43.77916667,1.23669167,20.60833333,194410516,0.0,523,5,0.0,湖南,2020-01-04 00:00:00
1,36,316.8,1.81,0.0573,1.0,194459128,0.0,36,5,0.0,湖南,2020-01-04 00:00:00
1,147,819.95,20.93675,0.2916034,5.87803028,194369019,0.0,147,5,0.0,湖南,2020-01-03 00:00:00
1,150,952.28,16.79166668,0.7769283,7.65,194459267,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
1,958,5260.6,340.07333333,2.10282993,47.66666667,194455637,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
1,4,391.0,0.1344,0.012,4.0,194465335,0.0,4,5,0.0,湖南,2020-01-04 00:00:00
1,10,612.0,0.336,0.03,10.0,194388970,0.0,0,5,0.0,湖南,2020-01-03 00:00:00
1,6,0.0,0.16803,0.0151,6.0,194463309,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
2,2,0.0,1.6,0.00766737,0.20833334,194522625,505.74,2,5,0.0,湖南,2020-01-06 00:00:00
0,99,7717.13,2.9426,0.1722,99.0,194528137,0.0,0,5,0.0,湖南,2020-01-05 00:00:00
1,8,0.0,2.688,0.024,8.0,194528457,0.0,8,5,0.0,湖南,2020-01-06 00:00:00
1,85,30352.0,6.309,2.794,85.0,194556291,0.0,85,5,0.0,湖南,2020-01-06 00:00:00
1,48,4248.0,96.3,0.63338608,5.0,194455468,0.0,48,5,0.0,湖南,2020-01-04 00:00:00
